latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.56902,80.48644,333.01,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.82,4.42,D
8.5695,80.76366,338.63,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,304.65,9.39,D
8.57147,80.7263,333.54,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,298.68,4.61,D
8.57321,80.5876,332.23,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.85,4.19,D
8.574,80.66736,342.42,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,301.94,36.79,D
8.57504,80.4455,345.29,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,302.14,4.18,D
8.57664,80.58342,331.51,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,303.41,6.1,D
8.57722,80.58692,344.12,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.41,4.19,D
8.59583,80.77507,336.18,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,297.34,6.36,D
8.59837,80.79054,334.4,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,300.96,5.22,D
8.60734,80.91888,339.09,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,304.42,7.46,D
8.60837,80.85137,338.67,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,305.61,11.2,D
8.62578,80.64729,337.07,0.38,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,301.26,9.51,D
8.65193,80.82672,341.22,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,303.08,8.57,D
8.65909,80.69933,332.35,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,301.39,4.65,D
8.66735,80.72438,336.5,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,302.11,7.16,D
8.67641,80.90026,335.43,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,301.67,7.77,D
8.68091,80.87888,334.14,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,301.98,7.56,D
8.68468,81.02161,349.12,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,303.14,22.07,D
8.68568,80.88323,333.31,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,299.08,9.97,D
8.68774,81.01603,332.11,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,299.8,4.45,D
8.69272,78.05309,339.6,0.56,0.52,2026-09-01,750,N,VIIRS,n,2.0NRT,301.29,4.6,D
8.69322,78.05519,347.78,0.56,0.52,2026-09-01,750,N,VIIRS,n,2.0NRT,301.94,6.31,D
8.69359,78.05819,331.91,0.56,0.52,2026-09-01,750,N,VIIRS,n,2.0NRT,300.81,4.74,D
8.70056,80.87553,331.19,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,300.82,13.58,D
8.74317,80.18766,343.55,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,298.99,5.11,D
8.86808,80.87281,330.89,0.55,0.43,2026-09-01,750,N,VIIRS,l,2.0NRT,301.1,5.24,D
8.89549,80.42211,338.63,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.45,12.27,D
8.8961,80.42565,343.18,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.43,12.27,D
8.91162,80.4194,340.85,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.46,5.7,D
8.9195,80.3924,332.26,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,304.48,5.41,D
